Name,Location,Province,Reviews,Rating(out of 5),URL
Heirdorm Hotel,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12233135-Reviews-Heirdorm_Hotel-Cyangugu_Western_Province.html
Motel Gloria,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d8387767-Reviews-Motel_Gloria-Cyangugu_Western_Province.html
Lockdown Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23324099-Reviews-Lockdown_Guest_House-Kigali_Kigali_Province.html
Gisenyi Shadow House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13237714-Reviews-Gisenyi_Shadow_House-Gisenyi_Western_Province.html
Ineza Heritage,Huye,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g3588281-d12230084-Reviews-Ineza_Heritage-Huye_Southern_Province.html
Venus Villa,Cyabingo,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g23367384-d23366923-Reviews-Venus_Villa-Cyabingo_Musanze_District_Northern_Province.html
Envi Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d6592147-Reviews-Envi_Guest_House-Kigali_Kigali_Province.html
Gardenia Apartment by Rokxy Apart-Management,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d21065808-Reviews-Gardenia_Apartment_by_Rokxy_Apart_Management-Kigali_Kigali_Province.html
Home Again Guest House,Kagano,Western Province,0,,https://www.tripadvisor.com/Hotel_Review-g19934836-d21315177-Reviews-Home_Again_Guest_House-Kagano_Western_Province.html
La Corniche Motel Nyabihu,Gisenyi,Western Province,5,,https://www.tripadvisor.com/Hotel_Review-g317074-d23554181-Reviews-La_Corniche_Motel_Nyabihu-Gisenyi_Western_Province.html
Kairaba Homestay - Adults Only,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d20372561-Reviews-Kairaba_Homestay_Adults_Only-Kigali_Kigali_Province.html
Elegance Motel,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d15572962-Reviews-Elegance_Motel-Kigali_Kigali_Province.html
