Name,Location,Reviews,Score,URL
Gorillas Volcanoes Hotel,Ruhengeri,15.0,6.8,https://www.booking.com/hotel/rw/gorillas-volcanoes.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
Gloria Hotel,Kigali,218.0,8.0,https://www.booking.com/hotel/rw/gloria.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
SILVER MOTEL RWANDA is one of designated hotel in Rwanda,Kigali,16.0,7.6,https://www.booking.com/hotel/rw/silver-motel-kigali-kibagabaga.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157944&from=searchresults#hotelTmpl
St Etienne Guest House,Kigali,58.0,8.2,https://www.booking.com/hotel/rw/st-etienne-guest-house-kigali.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=25&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Heaven Restaurant & Boutique Hotel,Kigali,274.0,8.2,https://www.booking.com/hotel/rw/heaven-restaurant-amp-boutique.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Beausejour Hotel,Kigali,83.0,7.3,https://www.booking.com/hotel/rw/beausejour-kiigali.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Yambi Guesthouse,Kigali,125.0,8.9,https://www.booking.com/hotel/rw/yambi-guesthouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Olympic Hotel,Kigali,22.0,8.7,https://www.booking.com/hotel/rw/olympic.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
"Five to Five hotel, on the list of designated transit hotels",Kigali,334.0,8.7,https://www.booking.com/hotel/rw/five-to-five.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Urban by CityBlue Kigali,Kigali,288.0,8.3,https://www.booking.com/hotel/rw/urban-by-cityblue-kigali.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Hotel des Mille Collines,Kigali,282.0,8.1,https://www.booking.com/hotel/rw/des-mille-collines.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
St Augustine Apart & Hotel,Kigali,6.0,9.5,https://www.booking.com/hotel/rw/st-augustine-apart-amp.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Hotel Chez Lando,Kigali,184.0,8.4,https://www.booking.com/hotel/rw/chez-lando.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Great Seasons Designated Transit Hotel,Kigali,6.0,7.2,https://www.booking.com/hotel/rw/great-seasons.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
"Park Inn by Radisson, Kigali",Kigali,85.0,7.9,https://www.booking.com/hotel/rw/park-inn-by-radisson-kigali.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Radisson Blu Hotel & Convention Centre Kigali,Kigali,160.0,8.5,https://www.booking.com/hotel/rw/radisson-blu-conference-centre-kigali.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
Wailers Lodge,Kigali,80.0,7.0,https://www.booking.com/hotel/rw/wailers-lodge.html?label=gen173nr-1FCAEoggI46AdIM1gEaMMBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAL_8reMBsACAdICJDIzMGVhYzI2LTA4NWYtNGIzOS05ZTBjLTZlNWI4ZThmOWM4MNgCBeACAQ&sid=87d75aca03e64e797d5f059bc0e38b2f&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=9a64631be243011d&srepoch=1637157964&from=searchresults#hotelTmpl
