Name,Category,Year,URL
5 incredible eco-resorts helping to save endangered animals,Green News,2019,https://www.euronews.com/green/2019/09/10/5-incredible-eco-resorts-helping-to-save-endangered-animals
South Africa wants to lead the Fourth Industrial Revolution,focus,2019,https://www.euronews.com/next/2019/09/10/south-africa-wants-to-lead-the-fourth-industrial-revolution
The Brief: 'Just dealing with Ebola and walking away is unacceptable',brussels bureau,2019,https://www.euronews.com/2019/09/05/the-brief-just-dealing-with-ebola-and-walking-away-is-unacceptable
Congolese girl with Ebola dies after traveling to Uganda,USA,2019,https://www.euronews.com/2019/08/30/girl-ebola-entering-uganda-congo-dies-total-number-cases-rise-n1048171
Watch: Parade puts blackface in Belgium back in spotlight,Belgium,2019,https://www.euronews.com/2019/08/26/watch-blackface-in-belgium-back-in-the-spotlight-after-controversial-parade
Women lead the efforts to tackle inequality in Rwanda,Good Morning Europe,2019,https://www.euronews.com/2019/08/22/women-lead-the-efforts-to-tackle-inequality-in-rwanda
What's the G7? A look at the economic summit coming to France,France,2019,https://www.euronews.com/2019/08/13/what-is-the-g7-a-look-at-the-economic-summit-coming-to-france-this-month
U.S. Ebola patients mark 5 years since recovery as outbreak rages in Congo,USA,2019,https://www.euronews.com/2019/08/02/former-u-s-ebola-patients-mark-5-years-recovery-while-n1038556
Rwanda closes border with DR Congo after third Ebola case,Democratic Republic Of Congo,2019,https://www.euronews.com/2019/08/01/rwanda-closes-border-with-dr-congo-after-third-ebola-case-detected-in-goma
Rwanda seals Congo border after third Ebola case in city of Goma,USA,2019,https://www.euronews.com/2019/08/01/rwanda-seals-congo-border-after-third-ebola-case-goma-n1038141
9 of the best must-have sustainable summer jewellery looks,Living,2019,https://www.euronews.com/green/2019/07/28/9-of-the-best-must-have-sustainable-summer-jewellery-looks
Why has WHO declared Ebola emergency a year after outbreak started?,Democratic Republic Of Congo,2019,https://www.euronews.com/2019/07/19/why-has-who-declared-ebola-emergency-a-year-after-outbreak-started
Congo confirms first Ebola case in the eastern city of Goma,Democratic Republic Of Congo,2019,https://www.euronews.com/2019/07/15/congo-confirms-first-ebola-case-in-the-eastern-city-of-goma
Watch: Endangered rhinos take trip of a lifetime from Europe to Africa,Rwanda,2019,https://www.euronews.com/2019/06/26/watch-endangered-rhinos-take-trip-of-a-lifetime-from-europe-to-africa
A drone just flew a kidney to a transplant patient for the first time ever. It won't be the last.,USA,2019,https://www.euronews.com/2019/05/03/drone-just-flew-kidney-transplant-patient-first-time-ever-it-ncna1001396
Which countries have highest proportion of women in parliament?,World,2019,https://www.euronews.com/2019/05/01/which-countries-in-europe-have-the-highest-proportion-of-women
Rwanda honours those killed in genocide that began 25 years ago,no comment,2019,https://www.euronews.com/2019/04/08/rwanda-honours-those-killed-in-genocide-that-began-25-years-ago
Male refugees victimized by sexual violence say U.N. staffer wanted bribes to help them,USA,2019,https://www.euronews.com/2019/04/08/asylum-sale-male-refugees-victimized-sexual-violence-say-officials-wanted-n988396
"25 years after genocide, Rwanda has a new light, says leader",USA,2019,https://www.euronews.com/2019/04/07/25-years-after-genocide-rwanda-has-new-light-says-leader-n991846
Rwanda marks 25th anniversary of genocide,Rwanda,2019,https://www.euronews.com/2019/04/07/rwanda-remembers-those-killed-in-genocide-25-years-ago
Belgium apologises for abducting mixed-race children in colonial-era,Belgium,2019,https://www.euronews.com/2019/04/05/belgium-apologises-for-abduction-of-thousands-of-mixed-race-children-during-colonial-era
Trump admin to ban entry of International Criminal Court investigators,USA,2019,https://www.euronews.com/2019/03/15/trump-admin-ban-entry-international-criminal-court-investigators-n983766
"'No survivors' in Ethiopian Airlines crash, CEO confirms",Ethiopia,2019,https://www.euronews.com/2019/03/10/ethiopia-airlines-flight-crashes-with-157-onboard-spokesman-confirms
A.I. and world trade take centre stage at 7th World Government Summit,Business Line,2019,https://www.euronews.com/next/2019/02/25/a-i-advances-and-world-trade-take-centre-stage-at-7th-world-government-summit
High-ranking Syrian suspected of crimes against humanity arrested in Germany,USA,2019,https://www.euronews.com/2019/02/14/syrian-suspected-crimes-against-humanity-arrested-germany-n971456
How to offset your travels,Green News,2019,https://www.euronews.com/green/2019/02/05/how-to-offset-your-travels
How African citizens protect themselves against Internet shutdowns,World,2019,https://www.euronews.com/2019/01/26/african-governments-use-internet-shutdowns-to-silence-opposition-more-and-more-what-can-pe
World Economic Forum 2019: What to expect at this year's Davos,Switzerland,2019,https://www.euronews.com/2019/01/20/world-economic-forum-2019-what-to-expect-at-this-year-s-davos
Design of single African Union passport for all to be unveiled,World,2019,https://www.euronews.com/2019/01/11/design-of-single-african-union-passport-for-all-to-be-unveiled-this-year
Five stories to know about today,World,2018,https://www.euronews.com/2018/12/27/live-updates-ukraine-martial-law-italy-quake-france-drops-charges-against-rwandan-official
France drops charges against Rwandan officials,Rwanda,2018,https://www.euronews.com/2018/12/26/france-drops-charges-against-rwandan-officials
France clears Rwandan officials of killing president in 1994,Africanews,2018,https://www.euronews.com/2018/12/26/france-clears-rwandan-officials-in-1994-president-killing-case
Drones fly vaccines to remote island in first-of-its-kind delivery,world news,2018,https://www.euronews.com/2018/12/19/drones-fly-vaccines-remote-island-first-its-kind-delivery-ncna950041
"How one Sandy Hook mother found forgiveness, hope and a mission",world news,2018,https://www.euronews.com/culture/2018/12/14/sandy-hook-5-years-later-scarlett-lewis-s-road-healing-t119829
Which EU countries ranked highest for food sustainability in 2018?,World,2018,https://www.euronews.com/2018/11/27/which-european-countries-ranked-highest-for-food-sustainability-in-2018
Japan: education partner of Rwanda,Global Japan,2018,https://www.euronews.com/2018/11/22/japan-partners-with-rwanda-in-education-initiative
Victory for conservationists as rare Mountain gorilla population rises,World,2018,https://www.euronews.com/2018/11/15/victory-for-conservationists-as-rare-mountain-gorilla-population-rises
Ethiopia: Abiy Ahmed gives 50% of ministerial roles to women,Ethiopia,2018,https://www.euronews.com/2018/10/17/ethiopia-abiy-ahmed-moves-gender-politics-forward-with-cabinet-parity-the-cube
Kigali's thriving art scene proof of the healing power of culture,Rwanda,2018,https://www.euronews.com/2018/10/02/kigali-s-thriving-art-scene-proof-of-the-healing-power-of-culture
"After the Rohingya Muslim genocide, a Nuremberg trial is essential | View",,2018,https://www.euronews.com/2018/09/04/after-the-rohingya-muslim-genocide-a-nuremberg-trial-is-essential-view
Mnangagwa urges Zimbabwe to unite behind his presidency,Zimbabwe,2018,https://www.euronews.com/2018/08/26/mnangagwa-urges-zimbabwe-to-unite-behind-his-presidency
Reality TV show gets participants to 'live like refugees',world news,2018,https://www.euronews.com/2018/08/25/go-back-where-you-came-retraces-reverse-refugee-route-n903081
Watch: United Nations pays tribute to Kofi Annan,no comment,2018,https://www.euronews.com/2018/08/21/watch-united-nations-pays-tribute-to-kofi-annan
Former UN Secretary-General Kofi Annan dies aged 80,world news,2018,https://www.euronews.com/2018/08/18/former-un-secretary-general-kofi-annan-dies-aged-80
Failed conflicts threaten to overshadow Annan’s legacy,Switzerland,2018,https://www.euronews.com/2018/08/18/syria-rwanda-and-other-failed-conflicts-threaten-to-overshadow-annan-s-legacy
Kofi Annan's life with the UN,world news,2018,https://www.euronews.com/2018/08/18/kofi-annan-s-life-with-the-un
"Inspire Africa: Innovative entrepreneurs from Senegal, Rwanda and Cameroon",Africanews,2018,https://www.euronews.com/2018/06/25/inspire-africa-innovative-entrepreneurs-from-senegal-rwanda-and-cameroon
Rwanda defends Arsenal deal,Rwanda,2018,https://www.euronews.com/2018/05/29/rwanda-defends-arsenal-deal
Six trends we spotted at VivaTech,Sci-tech,2018,https://www.euronews.com/next/2018/05/25/six-trends-we-spotted-at-vivatech
"Invoking MLK and slavery, American bishop breaks ground at royal wedding",world news,2018,https://www.euronews.com/2018/05/19/michael-curry-sermon-touching-civil-rights-royal-wedding-n875696
British tourists kidnapped in Congo speak out after being freed,Democratic Republic Of Congo,2018,https://www.euronews.com/2018/05/13/british-tourists-kidnapped-in-congo-are-released
Woman who died trying to protect Brit tourists from kidnappers is named,Republic of the Congo,2018,https://www.euronews.com/2018/05/12/congo-authorities-continue-search-for-kidnapped-british-tourists
Rwanda's champions of locally made fashion,Africanews,2018,https://www.euronews.com/2018/05/12/rwanda-s-champions-of-locally-made-fashion
Mass grave found in Rwanda,Rwanda,2018,https://www.euronews.com/2018/04/27/mass-grave-found-in-rwanda
U.S. investigates alleged atrocities committed against Rohingya,world news,2018,https://www.euronews.com/2018/04/25/u-s-investigates-alleged-atrocities-committed-against-myanmar-s-rohingya-n868986
"Blood-carrying drones could save lives in the US, Here's how",world news,2018,https://www.euronews.com/2018/04/24/blood-carrying-drones-could-save-lives-us-here-s-how-ncna868561
Analysis: what is the Commonwealth?,world news,2018,https://www.euronews.com/2018/04/19/analysis-what-is-the-commonwealth-
The Commonwealth: 4 questions answered,United Kingdom,2018,https://www.euronews.com/2018/04/19/the-commonwealth-4-questions-answered
Israel frees migrants pending deportation as Netanyahu struggles to placate coalition partners,Israel,2018,https://www.euronews.com/2018/04/05/israel-frees-migrants-pending-deportation-as-netanyahu-struggles-to-placate-coalition-part
"Netanyahu bows to right-wing pressure, axes migrant deal after just hours",world news,2018,https://www.euronews.com/2018/04/03/israel-s-netanyahu-changes-his-mind-migrant-resettlement-plan-n862266
Israel cancels plan to deport thousands of migrants to Africa,world news,2018,https://www.euronews.com/2018/04/02/israel-strikes-u-n-deal-send-thousands-african-migrants-western-n861956
Megan Markle joins Royal Family for Commonwealth Day celebrations,United Kingdom,2018,https://www.euronews.com/2018/03/13/meghan-markle-joins-royal-family-for-commonwealth-day-celebrations
Two wounded in refugee camp food rationing protest,Rwanda,2018,https://www.euronews.com/2018/02/22/two-wounded-in-refugee-camp-food-rationing-protest
Israel tells illegal Africans to leave before April or face jail,Israel,2018,https://www.euronews.com/2018/01/02/israel-tells-illegal-africans-to-leave-before-april-or-face-jail
Even Europe's money can't stop climate change refugees: View,world news,2017,https://www.euronews.com/2017/12/06/even-europe-s-money-can-t-stop-climate-change-refugees
Prince Harry to marry Meghan Markle at Windsor Castle in May,United Kingdom,2017,https://www.euronews.com/2017/11/28/good-team-harry-and-meghan-give-first-interview-since-announcing-engagement
Rohingya crisis deepens in Bangladesh,World,2017,https://www.euronews.com/2017/11/06/rohingya-exodus-compared-to-rwanda
Kenya Votes 2017: Have a look at the electoral system,Africanews,2017,https://www.euronews.com/2017/10/25/kenya-votes-2017-have-a-look-at-the-electoral-system
Trump calls for UN reform ahead of maiden speech to world leaders,USA,2017,https://www.euronews.com/2017/09/19/trump-calls-for-un-reform-ahead-of-maiden-speech-to-world-leaders
A glimpse at the life-changing work of an ocularist,world news,2017,https://www.euronews.com/2017/09/07/a-glimpse-at-the-life-changing-work-of-an-ocularist
Kagame sworn in for another term leading Rwanda,Rwanda,2017,https://www.euronews.com/2017/08/18/kagame-sworn-in-for-another-term-leading-rwanda
Syria investigator Del Ponte tells Euronews why she quit,Syria,2017,https://www.euronews.com/2017/08/08/syria-investigator-carla-del-ponte-tells-euronews-why-she-quit-commission
Del Ponte quits UN over Syria,Switzerland,2017,https://www.euronews.com/2017/08/06/del-ponte-quits-un-over-syria
Rwanda strongman Kagame wins election landslide,Rwanda,2017,https://www.euronews.com/2017/08/05/rwanda-strongman-kagame-wins-election-landslide
Kagame expected to win third term in Rwandan presidentials,Rwanda,2017,https://www.euronews.com/2017/08/04/kagame-expected-to-win-third-term-in-rwandan-presidentials
"Merkel urges more investment, weapons for Africa",Germany,2017,https://www.euronews.com/2017/06/12/merkel-urges-more-investment-weapons-for-africa
"'The US has long supported international justice, now it should be subjected to it'",USA,2017,https://www.euronews.com/2017/04/27/the-us-has-long-supported-international-justice-now-it-should-be-subjected-to-it
Made in Morocco: An African tour,target,2017,https://www.euronews.com/next/2017/04/18/made-in-morocco-an-african-tour
Rwandans demand apology from French media for 'photo misrepresentation',Africanews,2017,https://www.euronews.com/2017/03/23/rwandans-demand-apology-from-french-media-for-photo-misrepresentation
Norway tops UN list of happiest countries on earth,Norway,2017,https://www.euronews.com/2017/03/20/norway-tops-un-list-of-happiest-countries-on-earth
"Germany, the G20, protectionism and  the Compact with Africa",,2017,https://www.euronews.com/2017/03/13/view-germany-the-g20-protectionism-and-the-compact-with-africa
Central African nations warn Trump reform could lead to conflict,USA,2017,https://www.euronews.com/2017/02/15/central-african-nations-warn-trump-reform-could-lead-to-conflict
Report chronicles deliberate destruction of Aleppo by Russia and Assad,Syria,2017,https://www.euronews.com/2017/02/13/report-chronicles-deliberate-destruction-of-aleppo-by-russia-and-assad
Is Rwanda really better than Romania?,,2017,https://www.euronews.com/2017/02/07/view-is-rwanda-really-better-than-romania
DR Congo veteran opposition leader Etienne Tshisekedi dies aged 84,Democratic Republic Of Congo,2017,https://www.euronews.com/2017/02/01/dr-congo-veteran-opposition-leader-etienne-tshisekedi-dies-aged-84
Morocco: a business bridge to Africa,target,2017,https://www.euronews.com/next/2017/01/04/morocco-a-business-bridge-to-africa
'Syrian' women thank Russian soldiers in controversial calendar,Russia,2016,https://www.euronews.com/2016/12/15/syrian-women-thank-russian-soldiers-in-controversial-calendar
Thousands stream out of Aleppo as rebel deal is struck,Syria,2016,https://www.euronews.com/2016/12/13/thousands-stream-out-of-aleppo-as-rebel-deal-is-struck
‘Little arms and big ideas - fighting for social inclusion’,World,2016,https://www.euronews.com/2016/12/02/little-arms-and-big-ideas-fighting-for-social-inclusion
'Ethnic cleansing' reported in South Sudan,South Sudan,2016,https://www.euronews.com/2016/12/01/ethnic-cleansing-reported-in-south-sudan
Rwanda accuses French officials of complicity in genocide,France,2016,https://www.euronews.com/2016/11/30/rwanda-accuses-french-officials-of-complicity-in-genocide
Media & conflicts: domestic and international media threatened in Central Africa,Democratic Republic Of Congo,2016,https://www.euronews.com/2016/11/21/media-conflicts-domestic-and-international-media-threatened-in-central-africa
"Media & conflicts: dangerous liaisons, an INFOCORE study reveals",World,2016,https://www.euronews.com/2016/11/21/media-conflicts-dangerous-liaisons-an-infocore-study-reveals
James Nachtwey: we must think deeply before people commit to war,World,2016,https://www.euronews.com/2016/10/21/james-nachtwey-we-must-think-deeply-before-people-commit-to-war
'Historic' climate change deal reached in Rwanda,Rwanda,2016,https://www.euronews.com/2016/10/15/historic-climate-change-deal-reached-in-rwanda
Tanzania quake kills 13 and injures nearly 200,Tanzania,2016,https://www.euronews.com/2016/09/11/tanzania-quake-kills-13-and-injures-nearly-200
13 people - including nine children - die in fighting in Aleppo,Syria,2016,https://www.euronews.com/2016/08/05/13-people-including-nine-children-die-in-fighting-in-aleppo
Verdi's African-themed Macbeth impresses in Athens,Cult,2016,https://www.euronews.com/culture/2016/07/31/verdi-s-african-themed-macbeth-impresses-in-athens
"African passport launched, Idris Deby & Paul Kagame get first copies",Africanews,2016,https://www.euronews.com/2016/07/17/african-passport-launched-idris-deby-paul-kagame-get-first-copies
"Sudan's al-Bashir in Rwanda for summit, despite ICC arrest warrant",world news,2016,https://www.euronews.com/2016/07/17/sudan-s-al-bashir-in-rwanda-for-summit-despite-icc-arrest-warrant
21 Africans receive Queen Elizabeth's 'Young Leaders Award',Africanews,2016,https://www.euronews.com/culture/2016/06/24/21-africans-receive-queen-elizabeth-s-young-leaders-award
War photographer James Nachtwey wins Asturias award,Spain,2016,https://www.euronews.com/2016/05/19/photographer-nachtwey-wins-asturias-award
Former Rwandan mayors go on trial in France for 1994 genocide,France,2016,https://www.euronews.com/2016/05/10/former-rwandan-mayors-go-on-trial-in-france-for-1994-genocide
Africanews.com: most read stories,World,2016,https://www.euronews.com/2016/04/20/africanews-com-most-read-stories
Rwanda and the fight against genocide ideology,Rwanda,2016,https://www.euronews.com/2016/04/07/rwanda-and-the-fight-against-genocide-ideology
"Public funding, private loans - whatever it takes to get an education",World,2016,https://www.euronews.com/2016/04/01/public-funding-private-loans-whatever-it-takes-to-get-an-education
'Miles Ahead': inside a jazz icon's creative block,Cinema,2016,https://www.euronews.com/culture/2016/04/01/miles-ahead-inside-a-jazz-icon-s-creative-block
UN pays tribute after death of 'memorable' ex-chief Boutros-Ghali,world news,2016,https://www.euronews.com/2016/02/16/un-pays-tribute-after-death-of-memorable-ex-chief-boutros-boutros-ghali
DRC parties hard as fans celebrate nation's CHAN 2016 victory,Africanews,2016,https://www.euronews.com/2016/02/08/drc-parties-hard-as-fans-celebrate-nation-s-chan-2016-victory
Setting emergency standards for aid and education,World,2016,https://www.euronews.com/2016/01/22/setting-emergency-standards-for-aid-and-education
Rwandan President Paul Kagame to seek a third term in 2017,Rwanda,2016,https://www.euronews.com/2016/01/01/rwandan-president-paul-kagame-to-seek-a-third-term-in-2017
"Rwandans vote 'yes' to extending Kagame's term, partial results suggest",world news,2015,https://www.euronews.com/2015/12/19/rwandans-vote-yes-to-extending-kagame-s-term-partial-results-suggest
AU ready to deploy East African Stanby Force to Burundi,Africanews,2015,https://www.euronews.com/2015/12/17/au-ready-to-deploy-east-african-stanby-force-to-burundi
Burundi: Tensions heighten as trial begins for failed coup plotters,Africanews,2015,https://www.euronews.com/2015/12/15/burundi-tensions-heighten-as-trial-begins-for-failed-coup-plotters
Burundi announces security crackdown after months of violence,Burundi,2015,https://www.euronews.com/2015/11/09/burundi-announces-security-crackdown-after-months-of-violence
African Games: Algeria claim men's volleyball gold,Sport,2015,https://www.euronews.com/2015/09/16/african-games-algeria-claim-men-s-volleyball-gold
