Name,Channel,Category,Year,URL
"The Inquiry: How Has Rwanda Saved The Lives Of 590,000 Children?",BBC World Service,Programmes,2015,https://www.bbc.co.uk/programmes/p02pn9c9
Rwanda Seventh-Day Adventist churchgoers killed by lightning,Africa,News,2018,https://www.bbc.co.uk/news/world-africa-43362508
Rwanda church closures: Pastors arrested for defying order,Africa,News,2018,https://www.bbc.co.uk/news/world-africa-43301517
"Gerry Kelly: Rwanda Shaw, Ann Widdecombe",BBC Radio Ulster,Programmes,2017,http://www.bbc.co.uk/programmes/b09421r9
Tech Tent: Bye Bye App - Hello Bot,BBC World Service,Programmes,2016,https://www.bbc.co.uk/programmes/p03qc779
Rwanda offers refuge to enslaved Libya migrants,Africa,News,2017,https://www.bbc.co.uk/news/world-africa-42095629
Rwanda national team: Vincent Mashami named as new coach of Amavubi,African,Sport,2018,https://www.bbc.co.uk/sport/football/45234187
Rwanda's Paul Kagame - visionary or tyrant?,Africa,News,2017,http://www.bbc.co.uk/news/10479882
2022 World Cup: Algeria thrash 10-man Djibouti 8-0 with four goals for Slimani,Sport Africa,Sport,2021,https://www.bbc.co.uk/sport/africa/58422684
Omnibus: Rwanda,BBC World Service,Programmes,2000,https://www.bbc.co.uk/programmes/p0376m2l
Newsday: US appeals for ceasefire in Ethiopia's Tigray region,BBC World Service,Programmes,2021,https://www.bbc.co.uk/programmes/w172xv2n6b7nsx9
Rwanda delays Cecafa women's cup four days before kick-off,African,Sport,2018,https://www.bbc.co.uk/sport/football/44041113
Rwanda genocide: France keeps 1990s archives secret,Europe,News,2017,https://www.bbc.co.uk/news/world-europe-41283362
Rhino kills Hungarian conservationist in Rwanda,Africa,News,2017,https://www.bbc.co.uk/news/world-africa-40201730
Gorillas may âcommunicateâ size through chest beating,Science & Environment,News,2021,https://www.bbc.co.uk/news/science-environment-56678000
The Education Express: Emerging Rwanda,BBC World Service,Programmes,1996,https://www.bbc.co.uk/programmes/p03cgj6m
Rwanda football coach sacked over sex claims wins pay-off,Africa,News,2018,https://www.bbc.co.uk/news/world-africa-43785184
Rwanda beat Ethiopia to qualify for 2018 CHAN,Football,Sport,2017,http://www.bbc.co.uk/sport/football/41962715
