Name,Location,Reviews,Rating(out of 5),URL
Chic Open Concept Apart | Gate to Kigali,Kigali,,,www.airbnb.com/rooms/53055209?previous_page_section_name=1000
"Hallmark Residences 4 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/53368131?previous_page_section_name=1000
Happy Home and Dine Single Room,Kigali,25.0,4.96,www.airbnb.com/rooms/32650118?previous_page_section_name=1000
"Fully equipped, stylish apartment with pool & gym",Kigali,22.0,4.52,www.airbnb.com/rooms/31564385?previous_page_section_name=1000
cheerful Villa with 4 bedrooms with amazing view,Kigali,,,www.airbnb.com/rooms/53395819?previous_page_section_name=1000
Vintage Cottage Luxury Room,Rwamagana,,,www.airbnb.com/rooms/41425927?previous_page_section_name=1000
3-bedroom residential home in gated neighbourhood,Kigali,,,www.airbnb.com/rooms/51422437?previous_page_section_name=1000
City View Residence,Kigali,17.0,5.0,www.airbnb.com/rooms/35085301?previous_page_section_name=1000
San Pedro Apartment n°1,Kigali,14.0,4.79,www.airbnb.com/rooms/31086064?previous_page_section_name=1000
Beautiful studio apartment with large terrace,Kigali,3.0,5.0,www.airbnb.com/rooms/48580041?previous_page_section_name=1000
"Neat Private Room, Kigali @MyPlace",Kigali,,,www.airbnb.com/rooms/45506011?previous_page_section_name=1000
Skyway Apartments,Kigali,,,www.airbnb.com/rooms/53243143?previous_page_section_name=1000
Kigali Lifestyle Suites+Free Airport Pickup+WiFi,Kigali,,,www.airbnb.com/rooms/48102559?previous_page_section_name=1000
One Room Apartment at Igitego ApartHotel No 2,Kigali,,,www.airbnb.com/rooms/53446508?previous_page_section_name=1000
MAISON SPACIEUSE AVEC VUE  IMPRENABLE,Kigali,,,www.airbnb.com/rooms/43227869?previous_page_section_name=1000
Cheerful 4 bdrm Residential home in Kigali,Kigali,,,www.airbnb.com/rooms/53288097?previous_page_section_name=1000
Comfortable house with large garden,Kigali,34.0,4.81,www.airbnb.com/rooms/9583848?previous_page_section_name=1000
"Remera, Kigali City, Clean Comfy Master Suite+WiFi+Netflix+ Airport Pickup",Kigali,,,www.airbnb.com/rooms/52836516?previous_page_section_name=1000
Colin Home Stay,Musanze,3.0,5.0,www.airbnb.com/rooms/51382969?previous_page_section_name=1000
"Hallmark Residences 3 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/53370079?previous_page_section_name=1000
2 Cheerful 1-bedroom and garden sitting apartments,Kigali,,,www.airbnb.com/rooms/53355369?previous_page_section_name=1000
Angels' Court Apt #1  Entire 2bed apartment,Kigali,,,www.airbnb.com/rooms/38252757?previous_page_section_name=1000
Happy Home & Dine-Master Bedroom  across to Arena,Kigali,,,www.airbnb.com/rooms/32649815?previous_page_section_name=1000
Your private bungalow in a beautiful garden,Kigali,9.0,4.44,www.airbnb.com/rooms/9538883?previous_page_section_name=1000
Tranquility in kigali,Kigali,32.0,4.75,www.airbnb.com/rooms/23514582?previous_page_section_name=1000
Stunning modern home in the heart of Kigali,Kigali,,,www.airbnb.com/rooms/53148523?previous_page_section_name=1000
Happy Home and Dine entire Home across  the Arena.,Kigali,3.0,5.0,www.airbnb.com/rooms/32597348?previous_page_section_name=1000
Magnificent 3 Bedroom Apartment @MyPlace,Kigali,,,www.airbnb.com/rooms/52918736?previous_page_section_name=1000
2Bedrooms apartment with free parking and internet,Kigali,,,www.airbnb.com/rooms/52399705?previous_page_section_name=1000
"Hallmark Residences 4 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/52311410?previous_page_section_name=1000
TresChick house Kigali,Kigali,,,www.airbnb.com/rooms/50823328?previous_page_section_name=1000
"1 bed apart, fab terrace with views, above cafe",Kigali,47.0,4.51,www.airbnb.com/rooms/7524158?previous_page_section_name=1000
Peaceful house,Kigali,,,www.airbnb.com/rooms/39362938?previous_page_section_name=1000
"Hallmark Residences 3 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/53370166?previous_page_section_name=1000
B&B & Coffeebar + fiber Wifi,Kigali,8.0,4.88,www.airbnb.com/rooms/32828165?previous_page_section_name=1000
Indani - Private Residence just for you,Ruhengeri,6.0,5.0,www.airbnb.com/rooms/45952071?previous_page_section_name=1000
The Green Sanctuary - Art Nouveau,Kigali,,,www.airbnb.com/rooms/53020534?previous_page_section_name=1000
Cupid apartment,Kigali,17.0,4.38,www.airbnb.com/rooms/35828705?previous_page_section_name=1000
Nazareth,Kigali,38.0,4.73,www.airbnb.com/rooms/20060595?previous_page_section_name=1000
Private room at Rouge by Desir,Kigali,,,www.airbnb.com/rooms/52329099?previous_page_section_name=1000
Ikaze Murugo 2A,Kigali,,,www.airbnb.com/rooms/48781472?previous_page_section_name=1000
